CMD:
/home/jinsk/miniconda3/bin/python /home/jinsk/CodeFiles/ICCCCCCCCCCCCCCML/ANE_exp/v6/experiment_v6.py --data_path /home/jinsk/CodeFiles/ICCCCCCCCCCCCCCML/ANE_exp/data/gsm8k/gsm8k_test_500.json --num_samples 500 --model /home/jinsk/Models/Llama-3.2-3B-Instruct --steps 10 --lr 0.0001 --optimizer sgd --momentum 0.0 --update_target mlp --num_layers all --eval_mode ar --tta_reset sample --topk_list 5 --dtype bf16 --device_map auto --output_dir /home/jinsk/CodeFiles/ICCCCCCCCCCCCCCML/ANE_exp/v6/results/gsm8k500/lr_search/llama3.2-3b/lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04 --config_name lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04 --backup_on_cpu --no_viz

2026-01-16 03:10:27.976496: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-01-16 03:10:28.047750: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.

Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]
Loading checkpoint shards:  50%|█████     | 1/2 [00:32<00:32, 32.25s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:49<00:00, 23.27s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:49<00:00, 24.62s/it]

gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   0%|          | 0/500 [00:00<?, ?it/s]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   0%|          | 1/500 [00:04<38:34,  4.64s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   0%|          | 2/500 [00:08<33:31,  4.04s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   1%|          | 3/500 [00:11<32:04,  3.87s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   1%|          | 4/500 [00:15<32:01,  3.87s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   1%|          | 5/500 [00:19<31:35,  3.83s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   1%|          | 6/500 [00:23<31:06,  3.78s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   1%|▏         | 7/500 [00:26<30:46,  3.75s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   2%|▏         | 8/500 [00:30<30:41,  3.74s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   2%|▏         | 9/500 [00:34<30:28,  3.72s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   2%|▏         | 10/500 [00:38<30:19,  3.71s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   2%|▏         | 11/500 [00:41<30:19,  3.72s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   2%|▏         | 12/500 [00:47<34:49,  4.28s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   3%|▎         | 13/500 [00:51<33:15,  4.10s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   3%|▎         | 14/500 [00:54<32:09,  3.97s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   3%|▎         | 15/500 [00:58<31:14,  3.86s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   3%|▎         | 16/500 [01:01<30:35,  3.79s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   3%|▎         | 17/500 [01:05<30:04,  3.74s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   4%|▎         | 18/500 [01:09<29:43,  3.70s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   4%|▍         | 19/500 [01:12<29:28,  3.68s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   4%|▍         | 20/500 [01:16<29:18,  3.66s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   4%|▍         | 21/500 [01:20<29:08,  3.65s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   4%|▍         | 22/500 [01:23<28:59,  3.64s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   5%|▍         | 23/500 [01:27<29:55,  3.76s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   5%|▍         | 24/500 [01:31<29:41,  3.74s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   5%|▌         | 25/500 [01:35<29:27,  3.72s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   5%|▌         | 26/500 [01:40<33:46,  4.28s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   5%|▌         | 27/500 [01:44<32:17,  4.10s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   6%|▌         | 28/500 [01:47<31:12,  3.97s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   6%|▌         | 29/500 [01:51<30:30,  3.89s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   6%|▌         | 30/500 [01:55<30:04,  3.84s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   6%|▌         | 31/500 [01:59<29:37,  3.79s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   6%|▋         | 32/500 [02:04<33:43,  4.32s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   7%|▋         | 33/500 [02:07<31:07,  4.00s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   7%|▋         | 34/500 [02:11<29:19,  3.78s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   7%|▋         | 35/500 [02:14<29:02,  3.75s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   7%|▋         | 36/500 [02:18<28:42,  3.71s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   7%|▋         | 37/500 [02:22<28:27,  3.69s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   8%|▊         | 38/500 [02:25<28:15,  3.67s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   8%|▊         | 39/500 [02:29<28:06,  3.66s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   8%|▊         | 40/500 [02:32<27:56,  3.64s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   8%|▊         | 41/500 [02:36<27:39,  3.61s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   8%|▊         | 42/500 [02:40<27:24,  3.59s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   9%|▊         | 43/500 [02:43<27:14,  3.58s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   9%|▉         | 44/500 [02:47<27:07,  3.57s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   9%|▉         | 45/500 [02:50<27:15,  3.59s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   9%|▉         | 46/500 [02:54<27:13,  3.60s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:   9%|▉         | 47/500 [02:57<27:12,  3.60s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  10%|▉         | 48/500 [03:01<27:09,  3.61s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  10%|▉         | 49/500 [03:05<27:06,  3.61s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  10%|█         | 50/500 [03:08<27:02,  3.60s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  10%|█         | 51/500 [03:12<26:59,  3.61s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  10%|█         | 52/500 [03:16<27:03,  3.62s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  11%|█         | 53/500 [03:19<26:57,  3.62s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  11%|█         | 54/500 [03:23<26:52,  3.62s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  11%|█         | 55/500 [03:26<26:47,  3.61s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  11%|█         | 56/500 [03:30<26:42,  3.61s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  11%|█▏        | 57/500 [03:34<26:38,  3.61s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  12%|█▏        | 58/500 [03:37<26:34,  3.61s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  12%|█▏        | 59/500 [03:41<26:22,  3.59s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  12%|█▏        | 60/500 [03:44<26:13,  3.58s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  12%|█▏        | 61/500 [03:48<26:04,  3.56s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  12%|█▏        | 62/500 [03:51<25:58,  3.56s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  13%|█▎        | 63/500 [03:57<29:43,  4.08s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  13%|█▎        | 64/500 [04:00<28:27,  3.92s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  13%|█▎        | 65/500 [04:04<27:34,  3.80s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  13%|█▎        | 66/500 [04:07<26:57,  3.73s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  13%|█▎        | 67/500 [04:11<26:40,  3.70s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  14%|█▎        | 68/500 [04:15<26:39,  3.70s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  14%|█▍        | 69/500 [04:20<30:43,  4.28s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  14%|█▍        | 70/500 [04:24<29:27,  4.11s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  14%|█▍        | 71/500 [04:30<32:26,  4.54s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  14%|█▍        | 72/500 [04:33<30:35,  4.29s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  15%|█▍        | 73/500 [04:37<29:15,  4.11s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  15%|█▍        | 74/500 [04:41<28:28,  4.01s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  15%|█▌        | 75/500 [04:44<27:45,  3.92s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  15%|█▌        | 76/500 [04:48<27:15,  3.86s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  15%|█▌        | 77/500 [04:52<26:52,  3.81s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  16%|█▌        | 78/500 [04:56<26:34,  3.78s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  16%|█▌        | 79/500 [04:59<26:22,  3.76s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  16%|█▌        | 80/500 [05:03<26:12,  3.75s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  16%|█▌        | 81/500 [05:07<25:56,  3.71s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  16%|█▋        | 82/500 [05:14<33:25,  4.80s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  17%|█▋        | 83/500 [05:18<30:55,  4.45s/it]
gsm8k-ar-sample-lrsearch_gsm8k500_llama3.2-3b_mlp_all_steps10_lr1e-04:  17%|█▋        | 84/500 [05:21<29:10,  4.21s/it]
